iteration,# of objects,elapsed_time,cpu_percent,memory_available
1,4,0.015342712,22.7,18.2
6,8,0.020575047,9.5,18.2
11,12,0.019775867,14.1,18.4
16,16,0.012094021,8.9,17.8
21,20,0.014177084,12,17.8
26,24,0.013348103,13.6,17.8
31,28,0.013289928,8.2,18
36,32,0.014338017,11.1,17.5
41,36,0.0201931,10.1,18.3
46,40,0.015912056,14.5,18.1
51,44,0.009907007,11.3,17.9
56,48,0.012548208,9.8,17.9
61,52,0.0120368,13.2,17.9
66,56,0.01251483,9.9,18.1
71,60,0.01809001,3.2,18.1
76,64,0.017967224,5.9,18.1
81,68,0.01896596,9.4,18.2
86,72,0.020690918,14.7,19.5
91,76,0.019366264,28.1,18
96,80,0.017071962,16.6,18.4
101,84,0.01683712,16.7,19
106,88,0.016677141,7.8,17.4
111,92,0.01688695,23.6,17.1
116,96,0.021164656,34.1,16.9
121,100,0.017552853,17.2,17.3
126,104,0.01077795,21.4,17.2
131,108,0.011294842,49.9,17.1
136,112,0.019633055,54,16.7
141,116,0.018104076,36.5,16.9
146,120,0.014966011,39.3,16.4
151,124,0.018806934,26.7,16.3
156,128,0.011101961,41.8,15.8
161,132,0.01963377,45.1,16.2
166,136,0.015342236,26.3,17.8
171,140,0.019149065,30.6,18.1
176,144,0.018872976,32.2,18
181,148,0.019035816,18.2,18.1
186,152,0.018832922,29.2,16.2
191,156,0.015286922,33.2,16.2
196,160,0.019901276,19.5,16.5
201,164,0.018116713,10.5,17.1
206,168,0.016793966,14.8,17
211,172,0.011914015,1.9,18.4
216,176,0.015756607,2.1,19.1
221,180,0.017612219,1.6,19.2
226,184,0.016719103,5.1,19.4
231,188,0.016882896,1.5,19.5
236,192,0.015712976,1.1,19.5
241,196,0.016238213,0.9,19.6
246,200,0.017837763,0.7,19.6
251,204,0.016512871,1.6,19.6
256,208,0.017702341,1.1,19.5
261,212,0.016469002,1.4,19.5
266,216,0.015500069,3.3,19.6
271,220,0.018410683,1.6,19.6
276,224,0.017990828,0.7,19.5
281,228,0.018238783,1.1,19.5
286,232,0.018052101,2.6,20
291,236,0.015237093,0.5,19.8
296,240,0.019641161,1.4,19.8
301,244,0.018187046,0.5,19.8
306,248,0.019027233,0.4,19.9
